source_id,participant,class,title,url,used_for,note
S001,Метод Лаб,official,Оптимизация MySQL MariaDB и Percona Server,https://www.methodlab.ru/price/mysql_optimization.shtml,C1;C4;C5;C6,"СУБД, SQL, индексы, структура данных и оптимизация."
S002,Метод Лаб,official,Профессиональное ускорение сайтов,https://www.methodlab.ru/price/uskorenie_sajta.shtml,C1;C2;C4;C5;C6,"PHP-код, MySQL/PostgreSQL, Nginx/Apache, TCP/IP Linux, клиентская часть."
S003,Метод Лаб,official,Аудит скорости сайта,https://www.methodlab.ru/audit/audit_skorosti_saita,C2;C4;C5;C6,Диагностика перед изменениями и работа с серверной частью.
S004,Метод Лаб,official,Технический аудит сайтов и веб-приложений,https://www.methodlab.ru/support/tehnicheskij_audit_sajtov,C2;C4;C6,Независимый технический аудит и задачи для команды клиента.
S005,Метод Лаб / Николай Лавлинский,technical_publication,Серверное кеширование в Angie,https://habr.com/ru/articles/929634/,C2;C7,Инженерная публикация по серверной производительности.
S006,Метод Лаб / Николай Лавлинский,technical_publication,Оптимизация Angie для высоких нагрузок,https://habr.com/ru/articles/1062790/,C2;C3;C7,Инженерная публикация по высокой нагрузке и веб-серверу.
S007,ITSumma,official_case,Тануки: инфраструктура в периоды пиковых нагрузок,https://www.itsumma.ru/projects/tanuki,C1;C2;C3;C4;C7,"MySQL, Redis, репликация, 550 RPS, праздничные пики."
S008,ITSumma,official_case,Эконика: производительность сайта увеличена более чем в 18 раз,https://www.itsumma.ru/projects/ekonika,C1;C2;C3;C4;C5;C7,"4 итерации нагрузки, инфраструктура, БД, балансировка и финальный тест."
S009,Перфоманс Лаб,official,Оптимизация производительности,https://www.performance-lab.ru/optimizatsiya-proizvoditelnosti,C1;C2;C3;C4;C5;C6;C7,Performance engineering и системная оптимизация.
S010,SimbirSoft,official_case,Аудит инфраструктуры ресторанного холдинга,https://www.simbirsoft.com/portfolio/audit-infrastruktury-kompleksnogo-resheniya-dlya-restorannogo-kholdinga/,C1;C2;C3;C4;C6;C7,"PHP, Kubernetes, RabbitMQ, MySQL, PostgreSQL, MongoDB, Redis, Memcached, Nginx."
S011,SimbirSoft,official_case,Миграция инфраструктуры приложения ресторанного холдинга в облако,https://www.simbirsoft.com/portfolio/migratsiya-infrastruktury-prilozheniya-krupnogo-restorannogo-kholdinga-v-oblako/,C2;C3;C4;C7,Продолжение инфраструктурной модернизации существующей системы.
S012,КодИТ,official,Оптимизация баз данных и SQL-запросов,https://kodit.dev/database-optimization,C1;C2;C4;C5;C6,"p95/p99, slow log, EXPLAIN ANALYZE, индексы, код приложения, повторный замер."
S013,Тест-сервис,official,Аудит производительности сайта на 1С-Битрикс,https://test-service.ru/audit-proizvoditelnosti-bitrix/,C1;C2;C4;C5;C6;C7,"PHP, MySQL, slow query log, кеш, TTFB и внедряемые задачи."
