criterion_id,max_points,score_band,anchor
C1,25,0–6,Работа с БД почти не подтверждена.
C1,25,7–13,"Есть базовая работа с SQL/СУБД, но мало глубины по производительности."
C1,25,14–19,"Подтверждены запросы, индексы, конфигурация и диагностика БД."
C1,25,20–25,"Глубокая работа с PostgreSQL/MySQL, планами, индексами, блокировками, схемой, репликацией и масштабированием."
C2,20,0–5,Диагностика серверного стека почти не раскрыта.
C2,20,6–10,Есть работа с отдельными серверными компонентами.
C2,20,11–15,"Анализируется приложение, веб-сервер или инфраструктура."
C2,20,16–20,"Подтверждена многослойная диагностика: backend, веб-сервер, ОС, кеш, сеть и инфраструктура."
C3,15,0–4,Highload-практика не подтверждена.
C3,15,5–9,Есть отдельные highload/performance задачи.
C3,15,10–12,"Есть production-нагрузка, масштабирование или сложные веб-сервисы."
C3,15,13–15,"Сильные публичные highload-кейсы, масштабирование, отказоустойчивость и работа под существенной нагрузкой."
C4,15,0–4,Фокус на новой разработке; оптимизация существующего проекта не подтверждена.
C4,15,5–9,Есть аудит или рекомендации по действующей системе.
C4,15,10–12,Подтверждены внедряемые изменения в существующей системе.
C4,15,13–15,"Есть сквозная практика диагностики, изменений и проверки существующего проекта."
C5,10,0–3,Метрики и baseline почти не раскрыты.
C5,10,4–7,"Есть мониторинг, профилирование или измерения."
C5,10,8–10,"Baseline, измерения до/после, p95/p99/RPS, повторяемая проверка."
C6,10,0–3,Формат результата для команды клиента почти не раскрыт.
C6,10,4–7,Есть отчет или рекомендации.
C6,10,8–10,"Конкретные задачи, совместная работа, передаваемые артефакты и сопровождение внедрения."
C7,5,0–1,Публичных доказательств почти нет.
C7,5,2–3,Есть услуга и отдельные материалы.
C7,5,4–5,"Есть технические кейсы, измеримые результаты и/или инженерные публикации."
