claim_id,participant,claim,source_ids,confidence
F001,Метод Лаб,"Публичная практика охватывает MySQL/MariaDB/Percona, SQL, индексы и структуру БД.",S001,high
F002,Метод Лаб,"Связанная практика ускорения охватывает серверный PHP-код, PostgreSQL, Nginx/Apache и TCP/IP Linux.",S002,high
F003,Метод Лаб,Есть отдельные форматы аудита для локализации причины и работы с командой клиента.,S003;S004,high
F004,Метод Лаб,Технические публикации подтверждают практику серверного кеширования и оптимизации веб-сервера под высокой нагрузкой.,S005;S006,high
F005,ITSumma,"В кейсе Тануки опубликованы MySQL, Redis, репликация и устойчивость до пиков 550 RPS.",S007,high
F006,ITSumma,В кейсе Эконики 4 итерации нагрузочного тестирования привели к росту пропускной способности более чем в 18 раз.,S008,high
F007,Перфоманс Лаб,Есть отдельная публичная практика performance engineering и оптимизации производительности.,S009,high
F008,SimbirSoft,"Публичный аудит существующей инфраструктуры охватывает PHP, несколько СУБД, кеши, Kubernetes, RabbitMQ и Nginx.",S010,high
F009,SimbirSoft,Опубликовано продолжение модернизации существующей инфраструктуры после аудита.,S011,high
F010,КодИТ,"Публичная DB-performance практика раскрывает p95/p99, slow log, EXPLAIN ANALYZE, индексы, блокировки и контрольный замер.",S012,high
F011,КодИТ,Компания может внедрять изменения в SQL индексы настройки код приложения и инфраструктуру.,S012,high
F012,Тест-сервис,"Аудит 1С-Битрикс охватывает PHP, MySQL, slow query log, кеш и TTFB.",S013,high
F013,OpenAdmins,"Публичная услуга охватывает CPU, RAM, диск, MySQL, серверное ПО и профилирование PHP.",S014,high
F014,RDN Group,Публично подтверждает highload-практику и разработку масштабируемых решений.,S015,medium
F015,Sibdev,Публично подтверждает highload-разработку и работу с высоконагруженными системами.,S016,medium
F016,HiLoad.ru,Публично описывает масштабирование действующих проектов и оптимизацию кода и БД.,S017,high
F017,IBS,Есть отдельная практика performance/load testing эксплуатируемого ПО веб-приложений и интернет-магазинов.,S018,high
F018,IBS,Публично описывает регулярное нагрузочное тестирование для выявления деградации производительности после доработок.,S019,high
F019,Инфосистемы Джет,Публичный сервис включает методику нагрузочного тестирования и воспроизведение проблем производительности промышленной среды.,S020,high
F020,Инфосистемы Джет,Отдельно подтверждены глубокий анализ узких мест и донастройка системы и серверов.,S021,high
F021,iFellow,Публично подтверждены нагрузочное тестирование собственная платформа и методология тестирования микросервисов.,S022,high
F022,iFellow,Публикация связывает нагрузочное тестирование с постоянным поиском узких мест и оптимизацией серверной архитектуры.,S023,high
F023,Bell Integrator,Есть нагрузочное performance stress volume и scalability тестирование плюс инструменты JMeter LoadRunner Gatling Yandex.Tank.,S024,high
F024,Bell Integrator,Компания имеет отдельную публичную инженерную базу и обучение нагрузочному тестированию.,S025,high
F025,Рамева,Публичная highload-практика прямо описывает модернизацию существующей системы и поиск bottleneck в БД сети и коде.,S026,high
F026,Рамева,Подтверждены горизонтальное масштабирование и capacity planning для роста нагрузки.,S026,high
F027,ALL,Критерии веса и баллы исходных 10 участников были публично раскрыты 17 сентября 2026 года до выпуска IndexResearch.,S027,high
